VersionInfo.ProductName,VersionInfo.ProductVersion,VersionInfo.FileVersion,OpenArrayPlate.SerialNumber,OpenArrayPlate.ChipTransformsApplied,Assay.Assay ID,Assay.Assay Number,Assay.TaqMan Assay ID,Assay.Assay Name,Assay.Assay Type,Assay.Assay Pool,Assay.AmplificationCurveDyeNames.0,ThroughHole.Ct,ThroughHole.Concentration,ThroughHole.ConcentrationUnit,ThroughHole.Outlier,ThroughHole.CtConfidence,ThroughHole.Tm,ThroughHole.TmData.Area,ThroughHole.Address,ThroughHole.IntensityData.ROX.1,ThroughHole.IntensityData.FAMTP.1,SamplePlate.SerialNumber,SampleInfo.SampleID,SampleInfo.Description,SampleInfo.Dilution
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,001952_mmu-miR-666,144,TM001952,mmu-miR-666,TARG,A,FAMTP,40,,,FALSE,46.91599889,,0,A10e8,244.3609961,2642.732413,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002349_hsa-miR-574-3p,169,TM002349,hsa-miR-574-3p,TARG,A,FAMTP,20.897,,,FALSE,421.8452969,,0,A10f1,316.3226699,3319.354134,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002349_hsa-miR-574-3p,169,TM002349,hsa-miR-574-3p,TARG,A,FAMTP,40,,,FALSE,190.131509,,0,A10f1,270.1896581,3736.782542,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002239_hsa-miR-654-3p,170,TM002239,hsa-miR-654-3p,TARG,A,FAMTP,40,,,FALSE,188.0539845,,0,A10f2,320.9665749,3276.047023,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002239_hsa-miR-654-3p,170,TM002239,hsa-miR-654-3p,TARG,A,FAMTP,40,,,FALSE,125.6799021,,0,A10f2,318.0128776,3958.313704,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002567_mmu-miR-582-3p,171,TM002567,mmu-miR-582-3p,TARG,A,FAMTP,40,,,FALSE,43.68158957,,0,A10f3,305.4275629,3114.27845,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002567_mmu-miR-582-3p,171,TM002567,mmu-miR-582-3p,TARG,A,FAMTP,40,,,FALSE,44.73973035,,0,A10f3,263.6770417,3166.927978,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,001712_U87,956,TM001712,U87,ENDO,B,FAMTP,16.189,,,FALSE,745.7807439,,0,A10f4,317.2390214,4347.848076,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,001712_U87,956,TM001712,U87,ENDO,B,FAMTP,40,,,FALSE,268.8238871,,0,A10f4,262.9374805,4374.450775,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002566_mmu-miR-582-5p,173,TM002566,mmu-miR-582-5p,TARG,A,FAMTP,40,,,FALSE,85.04728092,,0,A10f5,296.8067006,3187.971662,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002566_mmu-miR-582-5p,173,TM002566,mmu-miR-582-5p,TARG,A,FAMTP,40,,,FALSE,208.6885503,,0,A10f5,256.0955311,3338.365914,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002607_mmu-miR-665,174,TM002607,mmu-miR-665,TARG,A,FAMTP,40,,,FALSE,45.96043865,,0,A10f6,311.4228427,3267.382039,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002607_mmu-miR-665,174,TM002607,mmu-miR-665,TARG,A,FAMTP,40,,,FALSE,49.04222189,,0,A10f6,257.9669529,3434.851713,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,002038_mmu-miR-742,175,TM002038,mmu-miR-742,TARG,A,FAMTP,40,,,FALSE,106.4732045,,0,A10f7,295.4685309,3947.418672,GNP81,A1,ctrl,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GPK57,FALSE,002038_mmu-miR-742,175,TM002038,mmu-miR-742,TARG,A,FAMTP,40,,,FALSE,41.88042188,,0,A10f7,251.2261942,3889.529099,GPK57,C2,mutant,1
OpenArray® Real-Time qPCR Analysis Software,1.0.215.4,1,GNP81,FALSE,001984_hsa-miR-590-5p,176,TM001984,hsa-miR-590-5p,TARG,A,FAMTP,23.867,,,FALSE,571.0552646,,0,A10f8,297.1313462,2993.926219,GNP81,A1,ctrl,1
