Chip Run Filename,R:\ChipRun.bml
Application Version,2.1.1
Application Build,20090521.1135
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold
S46-A09,no preamp,Unknown,0.05,b actin,Test,30.5942015134363,0.87,Pass,0.054349316579291
S46-A10,no preamp,Unknown,0.05,b actin,Test,35.4980815093085,0.83,Pass,0.054349316579291
S46-A11,no preamp,Unknown,0.05,b actin,Test,30.0787349459031,0.79,Pass,0.054349316579291
S46-A12,no preamp,Unknown,0.05,b actin,Test,29.4122050193783,0.85,Pass,0.054349316579291
S46-A13,no preamp,Unknown,0.05,GAPDH,Test,24.1934125600138,0.93,Pass,0.054349316579291
S46-A14,no preamp,Unknown,0.05,GAPDH,Test,25.0121224432603,0.92,Pass,0.054349316579291
S46-A15,no preamp,Unknown,0.05,GAPDH,Test,24.368739029094,0.92,Pass,0.054349316579291
S46-A16,no preamp,Unknown,0.05,GAPDH,Test,25.1039750247738,0.93,Pass,0.054349316579291
S46-A17,no preamp,Unknown,0.05,GAPDH,Test,25.0003557978892,0.93,Pass,0.054349316579291
S46-A18,no preamp,Unknown,0.05,GAPDH,Test,24.4014799337789,0.92,Pass,0.054349316579291
S46-A19,no preamp,Unknown,0.05,GAPDH,Test,24.3466794442303,0.93,Pass,0.054349316579291
S46-A20,no preamp,Unknown,0.05,GAPDH,Test,24.550128949696,0.93,Pass,0.054349316579291
S46-A21,no preamp,Unknown,0.05,GAPDH,Test,24.3392640608186,0.92,Pass,0.054349316579291
S46-A22,no preamp,Unknown,0.05,GAPDH,Test,24.7257368707316,0.93,Pass,0.054349316579291
S46-A23,no preamp,Unknown,0.05,GAPDH,Test,24.348830334237,0.92,Pass,0.054349316579291
S46-A24,no preamp,Unknown,0.05,GAPDH,Test,24.6802270103074,0.92,Pass,0.054349316579291
S46-A25,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S46-A26,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S46-A27,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S46-A28,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S46-A29,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S46-A30,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S46-A31,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S46-A32,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S46-A33,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S46-A34,no preamp,Unknown,0.05,HPRT,Test,29.4237330784496,0.89,Pass,0.054349316579291
S46-A35,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S46-A36,no preamp,Unknown,0.05,HPRT,Test,999,0,Fail,0.054349316579291
S46-A37,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S46-A38,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S46-A39,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S46-A40,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S46-A41,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S46-A42,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S46-A43,no preamp,Unknown,0.05,SDHA,Test,31.0821655693653,0.86,Pass,0.054349316579291
S46-A44,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S46-A45,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S46-A46,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S46-A47,no preamp,Unknown,0.05,SDHA,Test,999,0,Fail,0.054349316579291
S46-A48,no preamp,Unknown,0.05,SDHA,Test,30.7298098362595,0.84,Pass,0.054349316579291
S01-A01,preamp neat,Unknown,50,b actin,Test,7.04389560545199,0.73,Pass,0.054349316579291
S01-A02,preamp neat,Unknown,50,b actin,Test,7.38198842228017,0.73,Pass,0.054349316579291
S01-A03,preamp neat,Unknown,50,b actin,Test,7.06185451820942,0.74,Pass,0.054349316579291
S01-A04,preamp neat,Unknown,50,b actin,Test,7.35308912695124,0.71,Pass,0.054349316579291
S01-A05,preamp neat,Unknown,50,b actin,Test,6.97627638752775,0.74,Pass,0.054349316579291
S01-A06,preamp neat,Unknown,50,b actin,Test,6.72735866200256,0.72,Pass,0.054349316579291
S01-A07,preamp neat,Unknown,50,b actin,Test,7.08843466062546,0.73,Pass,0.054349316579291
S01-A08,preamp neat,Unknown,50,b actin,Test,7.0556900066399,0.74,Pass,0.054349316579291
S01-A09,preamp neat,Unknown,50,b actin,Test,6.89107406999073,0.75,Pass,0.054349316579291
S01-A10,preamp neat,Unknown,50,b actin,Test,7.23001295981885,0.73,Pass,0.054349316579291
S01-A11,preamp neat,Unknown,50,b actin,Test,7.15507392145109,0.73,Pass,0.054349316579291
S01-A12,preamp neat,Unknown,50,b actin,Test,6.86469739377818,0.75,Pass,0.054349316579291
S01-A13,preamp neat,Unknown,50,GAPDH,Test,5.4485021378822,0.56,Fail,0.054349316579291
S01-A14,preamp neat,Unknown,50,GAPDH,Test,5.42058556314048,0.56,Fail,0.054349316579291
S01-A15,preamp neat,Unknown,50,GAPDH,Test,5.14447169054172,0.55,Fail,0.054349316579291
S01-A16,preamp neat,Unknown,50,GAPDH,Test,5.56156381144375,0.55,Fail,0.054349316579291
S01-A17,preamp neat,Unknown,50,GAPDH,Test,5.39006359410809,0.53,Fail,0.054349316579291
S01-A18,preamp neat,Unknown,50,GAPDH,Test,5.05169464881249,0.55,Fail,0.054349316579291
